customer_id,activity_level,days_since_last_purchase,tx_count_30d,tx_count_60d,tx_count_90d,num_unique_products,avg_days_between_tx,avg_monthly_txns,target
8649525,2,0.0,902,1784,2439,33.0,0.008911304084031702,1043.4665208922193,2628
1242611,2,0.0,657,1116,1772,39.0,0.015671748112266706,833.1320915347768,2514
9467115,2,61.0,0,0,642,35.0,0.016804946361570577,813.851346329543,0
1618902,2,0.0,728,1163,2024,33.0,0.05151641046946406,386.1235236253471,880
1435341,2,1.0,134,472,592,25.0,0.046937416777629824,362.1509666232397,416
5741989,2,8.0,84,330,505,21.0,0.042454650714010035,416.1408974322889,63
8423804,2,0.0,518,1336,1852,33.0,0.0433909648633575,354.91980819822,520
4893343,2,0.0,123,362,394,32.0,0.17870722433460076,127.73071618376257,1438
6026638,2,0.0,969,1228,1841,34.0,0.0538621618313135,323.9325519990899,402
5102428,2,5.0,455,856,1193,36.0,0.05080960357342267,285.6739135927979,530
4211546,2,2.0,435,512,777,27.0,0.08011950027159152,227.02611023124015,131
2147563,2,0.0,121,539,611,34.0,0.06459385039008719,345.3084940684757,119
3007306,2,7.0,270,433,685,27.0,0.07451403887688984,258.96658332422567,403
3506724,2,0.0,227,436,925,33.0,0.07055609128897461,249.84443464099775,561
1753248,2,0.0,635,761,923,32.0,0.06902985074626866,287.4782419138167,446
1067115,2,7.0,95,352,779,34.0,0.0886512590548465,232.3995758717883,497
4942230,2,2.0,176,392,553,22.0,0.07489055659787366,253.7488168919427,306
6096036,2,0.0,457,1140,1569,31.0,0.08682170542635659,232.28150935094743,548
1609753,2,0.0,109,374,384,29.0,0.09235606209471409,201.4484358041243,330
8962897,2,1.0,60,257,404,20.0,0.09258285113098369,229.05999141134103,178
9049512,2,1.0,244,354,561,31.0,0.11592449177153921,163.95820656495448,452
9318538,2,0.0,184,235,291,35.0,0.12149732620320855,185.0595512730437,250
1342180,2,0.0,214,372,464,21.0,0.07869575876440305,163.64395824522538,311
3738908,2,0.0,21,21,287,17.0,0.17219313554392088,136.0557895870403,263
1610429,2,0.0,11,42,60,23.0,0.10348089292470677,211.68503808215195,1
9811305,2,0.0,300,739,966,27.0,0.10724852071005918,161.48408244535912,175
2720980,2,0.0,261,702,831,27.0,0.16120143290162578,144.1417955889491,208
2395893,2,0.0,96,295,553,25.0,0.15800067091580006,119.28048011681771,347
8406268,2,0.0,83,149,203,31.0,0.23991416309012875,92.24415471547428,299
9710961,2,0.0,205,341,406,28.0,0.12228260869565218,140.1822793605208,287
2688067,2,0.0,71,72,74,33.0,0.23192660550458716,107.88473735749899,173
1132801,2,0.0,137,182,242,27.0,0.09809191077667294,149.58997339811484,151
8327629,2,1.0,108,243,334,23.0,0.17946927374301677,120.51490913531947,554
1318863,2,0.0,255,541,696,28.0,0.35082872928176795,73.46575643304067,607
5117982,2,1.0,39,82,239,25.0,0.3372615039281706,70.87234796049063,588
9975355,2,5.0,37,274,448,29.0,0.24081451969898185,90.13916956262936,114
4756446,2,0.0,67,413,517,28.0,0.15534591194968553,125.88555023564054,302
4828886,2,0.0,244,384,467,25.0,0.103789592760181,141.80007450467681,121
1525871,2,434.0,0,0,0,23.0,0.04499612102404965,417.34305800249814,0
1241015,2,7.0,55,174,356,28.0,0.23890784982935154,106.44242937513557,375
9065995,2,1.0,165,263,485,22.0,0.3053545586107091,87.41622713644767,368
6206108,2,6.0,71,164,357,28.0,0.34122401847575057,75.67164410326377,186
3926262,2,0.0,148,472,563,24.0,0.20449826989619377,114.26234957212075,113
7785882,2,0.0,68,141,210,27.0,0.19143752175426385,113.91187791912185,241
1229662,2,1.0,2,2,19,27.0,0.15480427046263345,145.9725921050986,33
7243522,2,434.0,0,0,0,18.0,0.04695246427529892,317.6316437452287,0
2684319,2,0.0,62,171,274,28.0,0.1960638692907538,107.62287787897012,126
8392539,2,0.0,331,649,1000,24.0,0.06532485875706215,312.3726718360722,209
8244710,2,0.0,76,262,383,27.0,0.24619399739016964,92.00420669357655,261
7400852,2,51.0,0,1,243,28.0,0.1752708731676227,136.06829571752226,0
2341888,2,0.0,91,304,410,15.0,0.18287037037037038,102.69530056506485,136
7271671,2,0.0,94,131,175,20.0,0.24299909665763325,87.89877819702546,166
3537244,2,0.0,159,253,373,26.0,0.23183391003460208,91.78340231871361,302
5771812,2,2.0,74,141,417,24.0,0.2104857363145721,107.20817620601802,143
1650038,2,4.0,41,113,113,33.0,0.22209985315712188,110.95553507451908,183
9134941,2,0.0,204,247,334,27.0,0.18281718281718282,119.04968828694133,43
9578843,2,0.0,39,59,66,31.0,0.19263157894736843,112.87501477768753,17
6866175,2,0.0,118,185,268,19.0,0.25794564716720403,86.21797655364982,167
4186957,2,0.0,183,307,360,31.0,0.2891139240506329,79.06416027480115,232
1261120,2,7.0,28,124,462,27.0,0.19949035311248633,110.10224464544834,77
7947635,2,0.0,100,273,400,21.0,0.2192598487863112,100.39215451643793,222
2513224,2,2.0,102,105,257,25.0,0.29750382068262865,83.72205430160562,233
2569112,2,0.0,67,190,266,20.0,0.3110481586402266,70.07758917191241,337
7752441,2,1.0,46,172,216,26.0,0.30212105535437145,77.35096404659537,75
1150412,2,0.0,61,82,159,14.0,0.2504222972972973,95.07238735827352,65
4382091,2,0.0,55,120,216,11.0,0.25846447305674775,83.80426247249679,93
4474245,2,5.0,51,132,132,24.0,0.2863414634146341,82.59017767276009,107
3798379,2,6.0,152,493,542,16.0,0.27955426356589147,82.45205082657074,120
7604799,2,15.0,3,80,133,30.0,0.20163934426229507,104.74805597189334,78
7799847,2,0.0,41,265,349,24.0,0.2136139722346619,88.53967147783496,102
9341302,2,0.0,59,179,295,30.0,0.20857142857142857,84.31900205286864,86
2262358,2,0.0,120,226,277,21.0,0.3055148853099073,82.32782701866495,66
4804651,2,0.0,144,197,286,18.0,0.26633416458852865,80.1059539935406,84
4908594,2,0.0,52,241,322,22.0,0.28728179551122196,80.5118189338217,61
2407192,2,40.0,0,3,3,21.0,0.23093681917211328,109.19374980265664,5
5855923,2,1.0,89,210,322,14.0,0.300990099009901,80.2527536985442,53
4451166,2,1.0,14,264,297,19.0,0.2845144356955381,76.27253174611582,49
6849585,2,7.0,37,92,163,22.0,0.24598930481283424,91.65376546222313,25
5260894,2,0.0,28,221,433,18.0,0.12274176408076515,158.20320559109192,119
4764333,2,8.0,5,92,175,21.0,0.23934897079942558,100.45018469126681,9
2375746,2,0.0,13,14,267,20.0,0.16195372750642673,138.92274996707562,215
9553202,2,0.0,1,50,99,18.0,0.3008453505718548,80.41316685488651,30
6709871,2,0.0,64,142,198,19.0,0.2613861386138614,80.72830442638089,61
7756617,2,0.0,56,56,78,19.0,0.3718954248366013,71.45386967581375,146
9060305,2,0.0,159,318,435,29.0,0.2756756756756757,80.57186990404803,71
5473514,2,7.0,107,278,331,22.0,0.268075117370892,90.67604397708678,42
1594729,2,6.0,68,90,100,14.0,0.27234553089382124,66.63256134220111,156
3219760,2,6.0,68,279,334,16.0,0.6997422680412371,36.375186686781994,234
4591716,2,0.0,101,102,166,25.0,0.35075885328836426,71.9643870136714,55
2872694,2,1.0,15,31,50,30.0,0.2916876574307305,81.91503096401146,16
8465588,2,0.0,162,162,162,20.0,0.45621716287215414,54.84252806661419,289
2654015,2,1.0,89,89,122,15.0,0.354712771890686,72.04893740894457,82
5809109,2,0.0,118,186,377,22.0,0.3983268983268983,62.790218754033276,183
2952325,2,0.0,80,116,206,21.0,1.1489001692047378,23.957426968432248,107
9618217,2,1.0,18,61,92,32.0,0.4073820915926179,58.55743265780481,132
9843137,2,15.0,14,126,252,10.0,0.38222543352601157,56.75948039426097,174
9679391,2,5.0,41,60,118,19.0,0.2755046372067649,75.5763703206611,33
4008516,2,0.0,40,63,102,21.0,0.31787709497206706,70.98167000002198,47
7866866,2,6.0,29,70,99,26.0,0.32213029989658737,77.214543432099,5
4412215,2,0.0,191,256,382,32.0,0.31968145620022753,70.56667371815632,46
6628783,2,0.0,3,49,134,28.0,0.41537424140256235,60.179663940977,142
9346906,2,1.0,35,124,199,23.0,0.3090332805071315,79.85860727866319,2
7939178,2,6.0,19,26,51,21.0,0.40059701492537314,69.16675276635279,11
1425811,2,8.0,26,42,114,22.0,0.4833948339483395,54.2890985127772,274
1545938,2,6.0,71,129,159,21.0,0.4890154597233523,49.262080268169576,211
1031165,2,0.0,83,208,278,14.0,0.3529040404040404,62.844930707300435,100
8822663,2,0.0,76,130,146,26.0,0.3930712858094604,60.813263001318894,97
9503048,2,1.0,35,68,102,22.0,0.42346938775510207,55.186571255007564,126
5041692,2,6.0,46,52,78,28.0,0.44157814871016693,52.780816578122355,177
3754535,2,0.0,21,43,61,18.0,0.3555413196668802,62.793448099541685,78
8886826,2,0.0,11,145,154,22.0,0.41770491803278686,60.39201077026648,65
7940745,2,0.0,43,118,178,26.0,0.3791989664082687,61.38270621947194,114
4414897,2,2.0,53,79,193,14.0,0.4004959702417855,64.22949759473322,32
2674263,2,0.0,27,125,169,23.0,0.3719582850521437,68.29844018851577,25
6661377,2,330.0,0,0,0,22.0,0.1871476888387824,127.69745278401234,0
7581616,2,7.0,19,34,96,24.0,0.44668158090976884,53.63035056414792,84
8441483,2,360.0,0,0,0,15.0,0.16401816118047674,133.0325393593452,0
1968660,2,18.0,67,73,105,18.0,0.45254470426409904,59.56630988749918,59
3634986,2,0.0,9,141,192,22.0,0.44680851063829785,52.16421293565894,80
8811997,2,0.0,27,77,117,24.0,0.3678646934460888,60.352037542473454,139
2578464,2,0.0,159,419,419,14.0,0.07655502392344497,234.2628150321901,183
6509907,2,0.0,227,253,323,15.0,0.3954098360655738,60.3717653016205,54
4576544,2,0.0,1,12,67,27.0,0.3946731234866828,67.57398636433187,34
9003245,2,561.0,0,0,0,26.0,0.05902980713033314,262.12552716926194,0
4275069,2,6.0,26,59,179,24.0,0.4155027932960894,57.11589928665012,67
6365249,2,0.0,107,201,359,24.0,0.45706174591909154,56.620962888256884,62
2694213,2,0.0,33,40,41,19.0,0.3765234124438743,61.86510676949669,28
6385644,2,1.0,63,244,494,19.0,0.3303834808259587,69.70959559710074,85
9163813,2,14.0,17,71,104,20.0,0.5201048951048951,46.16809587224912,103
1198032,2,6.0,39,101,133,24.0,0.3949889462048637,61.38591447014921,163
3162626,2,0.0,60,101,124,19.0,0.46198406951484433,54.72266388440712,76
1073325,2,0.0,14,78,90,15.0,0.38231292517006804,59.10010637744792,47
4050612,2,1.0,68,104,261,28.0,0.7511682242990654,34.83917593678448,258
7313337,2,452.0,0,0,0,20.0,0.019851116625310174,506.459077494896,0
5846474,2,188.0,0,0,0,22.0,0.3225605966438782,85.95885287407914,0
5021326,2,7.0,123,258,324,20.0,0.4172958133150309,60.119674087355854,74
8714192,2,0.0,94,309,435,17.0,0.4618834080717489,53.54684994888909,76
2577278,2,0.0,101,146,196,23.0,0.5569620253164557,45.20204855838955,177
9150929,2,9.0,1,2,21,22.0,0.4786764705882353,56.370850187426754,92
5678343,2,0.0,132,219,271,15.0,0.5745079662605436,45.254083354030946,81
7984427,2,0.0,155,160,309,18.0,0.1566696508504924,142.17843972976274,272
3403487,2,0.0,23,23,34,16.0,0.5105348460291734,48.90289432117352,102
1470786,2,12.0,38,39,89,21.0,0.4166666666666667,56.698296904855496,79
5606263,2,16.0,64,106,130,18.0,0.5646437994722955,46.47126609039835,79
8960262,2,2.0,25,75,75,31.0,0.47017268445839877,50.618368975829874,49
5837358,2,56.0,0,45,133,20.0,0.1998631074606434,102.53205794094607,0
8102985,2,0.0,115,135,191,27.0,0.48688524590163934,52.48009886845011,102
6595913,2,0.0,26,54,99,24.0,0.4469320066334992,48.73734147698565,59
5581181,2,1.0,73,324,446,18.0,0.6018264840182649,43.95430227720275,40
2211812,2,0.0,94,182,182,13.0,0.571917808219178,46.881373811993065,120
9551370,2,1.0,26,119,146,13.0,0.5783132530120482,40.800605162293614,67
8132113,2,5.0,50,78,84,19.0,0.4746019711902957,52.79838269102255,26
6169222,2,56.0,0,1,38,25.0,0.5460346399270738,46.92112928481004,92
9037014,2,343.0,0,0,0,26.0,0.29132569558101473,88.61212283268857,164
